District Name,District Code,Locale,Teacher % Retained,Year,Retention Category,Total Expenditures per Pupil,Adjusted Total Expenditures per Pupil,Adjusted Expenditures Category,Average Salary,Adjusted Average Salary,Adjusted Salary Category,Average Class Size,Class Size Category
abington,10000,Suburban,88.1,2011,medium,11415.14,11230.95238095240,low,73887.0,72694.8051948052,high,25.7,large
acton,20000,Suburban,94.6,2011,high,11480.23,11294.992129083000,low,75741.0,74518.89020070840,high,23.1,large
acton-boxborough,6000000,Suburban,93.8,2011,high,13181.82,12969.126328217200,low,72411.0,71242.6210153483,high,21.1,large
acushnet,30000,Suburban,91.9,2011,high,11454.39,11269.56906729630,low,57227.0,56303.62062180240,low,18.7,medium
adams-cheshire,6030000,Rural,95.5,2011,high,12017.11,11823.209366391200,low,65939.0,64875.04919323100,medium,16.9,medium
agawam,50000,Suburban,91.5,2011,high,12429.59,12229.033844942900,low,60750.0,59769.77567886660,low,17.9,medium
amesbury,70000,Suburban,90.5,2011,high,12965.86,12756.650924832700,low,70341.0,69206.0212514758,medium,18.8,medium
amherst,80000,Urban,84.6,2011,low,17115.98,16839.807162534400,medium,66484.0,65411.25541125540,medium,18.6,medium
amherst-pelham,6050000,Urban,86.3,2011,medium,17916.05,17626.967729240500,high,75213.0,73999.40968122790,high,14.0,small
andover,90000,Suburban,89.7,2011,medium,13697.42,13476.406926406900,low,77136.0,75891.3813459268,high,21.7,large
arlington,100000,Suburban,83.0,2011,low,12942.16,12733.333333333300,low,55373.0,54479.53561589930,low,19.7,large
ashburnham-westminster,6100000,Suburban,87.6,2011,medium,11618.88,11431.404958677700,low,68642.0,67534.43526170800,medium,19.7,large
ashland,140000,Suburban,91.1,2011,high,12007.41,11813.66587957500,low,69830.0,68703.26643053920,medium,19.8,large
assabet valley regional vocational technical,8010000,Suburban,86.3,2011,medium,17530.35,17247.491145218400,high,71858.0,70698.54388036210,high,14.9,small
athol-royalston,6150000,Suburban,91.4,2011,high,13023.03,12812.898465171200,low,62843.0,61829.00432900430,low,17.6,medium
attleboro,160000,Suburban,89.8,2011,medium,11738.71,11549.301456119600,low,77076.0,75832.3494687131,high,20.1,large
auburn,170000,Suburban,91.3,2011,high,12525.31,12323.209366391200,low,61146.0,60159.38606847700,low,18.3,medium
avon,180000,Suburban,89.6,2011,medium,12225.05,12027.794175521400,low,60160.0,59189.295552931900,low,17.0,medium
barnstable,200000,Urban,92.2,2011,high,13291.45,13076.987406532900,low,68127.0,67027.74498229050,medium,16.7,small
bedford,230000,Suburban,89.4,2011,medium,16962.56,16688.862652499000,medium,78281.0,77017.90633608820,high,15.2,small
belchertown,240000,Rural,91.1,2011,high,10865.36,10690.043290043300,low,63046.0,62028.728846910700,low,19.4,large
bellingham,250000,Suburban,87.4,2011,medium,11549.82,11363.459268004700,low,68328.0,67225.50177095630,medium,17.9,medium
belmont,260000,Suburban,85.0,2011,low,11968.83,11775.708382526600,low,79489.0,78206.41479732390,high,21.8,large
berkley,270000,Rural,95.2,2011,high,10123.75,9960.399449035810,low,64548.0,63506.493506493500,medium,18.7,medium
berkshire hills,6180000,Rural,92.6,2011,high,15150.16,14905.706414797300,medium,64762.0,63717.04053522240,medium,16.1,small
berlin,280000,Suburban,95.7,2011,high,16411.16,16146.359700905200,medium,71811.0,70652.30224321130,high,14.9,small
berlin-boylston,6200000,Suburban,94.6,2011,high,14882.64,14642.50295159390,medium,66369.0,65298.110979929200,medium,15.1,small
beverly,300000,Suburban,89.1,2011,medium,12719.41,12514.17748917750,low,69535.0,68413.02636757180,medium,26.5,large
billerica,310000,Suburban,89.5,2011,medium,12627.68,12423.927587564000,low,63885.0,62854.19126328220,low,20.6,large
blackstone valley regional vocational technical,8050000,Suburban,88.7,2011,medium,16685.64,16416.410861865400,medium,70835.0,69692.05037386860,medium,16.8,medium
blackstone-millville,6220000,Suburban,86.1,2011,medium,10595.21,10424.252262888600,low,61756.0,60759.54348681620,low,18.7,medium
blue hills regional vocational technical,8060000,Rural,87.5,2011,medium,20765.63,20430.568673750500,high,74643.0,73438.60684769780,high,18.3,medium
boston,350000,Urban,84.5,2011,low,17760.38,17473.809523809500,high,83354.0,82009.0515545061,high,17.6,medium
bourne,360000,Suburban,87.1,2011,medium,12968.55,12759.297520661200,low,65670.0,64610.38961038960,medium,18.7,medium
boxborough,370000,Suburban,89.7,2011,medium,14222.0,13992.522628886300,medium,77786.0,76530.89334907520,high,20.2,large
boxford,380000,Rural,91.2,2011,high,12006.09,11812.36717827630,low,71559.0,70404.36835891380,high,17.4,medium
boylston,390000,Suburban,89.7,2011,medium,12242.74,12045.198740653300,low,72001.0,70839.2365210547,high,16.3,small
braintree,400000,Suburban,91.4,2011,high,11176.21,10995.877607241200,low,63652.0,62624.95080676900,low,18.9,medium
brewster,410000,Suburban,100.0,2011,high,15991.37,15733.343171979500,medium,72995.0,71817.1979535616,high,19.2,large
bridgewater-raynham,6250000,Suburban,94.1,2011,high,11221.24,11040.181031090100,low,75532.0,74313.26249508070,high,24.3,large
brimfield,430000,Rural,90.0,2011,medium,11913.31,11721.084218811500,low,62653.0,61642.07005116100,low,14.6,small
bristol county agricultural,9100000,Rural,84.8,2011,low,18978.93,18672.697756788700,high,61803.0,60805.78512396700,low,20.5,large
bristol-plymouth regional vocational technical,8100000,Suburban,88.2,2011,medium,16384.45,16120.08067689890,medium,76008.0,74781.58205430930,high,18.9,medium
brockton,440000,Suburban,90.4,2011,medium,12540.18,12337.839433294000,low,73797.0,72606.25737898470,high,21.2,large
brookfield,450000,Rural,86.4,2011,medium,11089.99,10911.048799685200,low,73645.0,72456.70995671000,high,19.7,large
burlington,480000,Suburban,88.0,2011,medium,15007.54,14765.387642660400,medium,84265.0,82905.35222353410,high,19.6,large
cambridge,490000,Urban,83.6,2011,low,26304.72,25880.28335301060,high,82076.0,80751.67256985440,high,16.8,medium
cape cod regional vocational technical,8150000,Suburban,87.3,2011,medium,20640.08,20307.044470680800,high,72495.0,71325.26564344750,high,14.2,small
carlisle,510000,Rural,91.7,2011,high,15900.36,15643.801652892600,medium,82489.0,81158.00865800870,high,20.0,large
carver,520000,Rural,91.8,2011,high,12143.66,11947.71743408110,low,67111.0,66028.13852813850,medium,17.5,medium
central berkshire,6350000,Rural,94.0,2011,high,12977.0,12767.611176702100,low,61022.0,60037.38685556870,low,17.3,medium
chatham,550000,Suburban,91.5,2011,high,15749.28,15495.159386068500,medium,70171.0,69038.76426603700,medium,14.2,small
chelmsford,560000,Suburban,92.2,2011,high,11048.79,10870.51357733180,low,66416.0,65344.352617079900,medium,22.1,large
