2010-11 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Abby Kelley Foster Charter Public (District),04450000,     464,  18.4,"      1,418",  51.4,  48.6,   1.7,  11.0,  59.3
Abington,00010000,     793,  25.7,"      2,025",  49.6,  50.4,   0.6,  15.0,  15.5
Academy Of the Pacific Rim Charter Public (District),04120000,     129,  23.0,        481,  51.8,  48.2,   0.4,  16.0,  52.4
Acton,00020000,     440,  23.1,"      2,570",  49.3,  50.7,   3.7,  14.0,   2.8
Acton-Boxborough,06000000,     986,  21.1,"      2,950",  48.8,  51.2,   0.5,  12.8,   2.6
Acushnet,00030000,     275,  18.7,"      1,026",  48.0,  52.0,   0.2,  17.3,  22.3
Adams-Cheshire,06030000,     721,  16.9,"      1,505",  47.7,  52.3,   0.2,  15.9,  44.1
Advanced Math and Science Academy Charter (District),04300000,     424,  22.2,        956,  46.2,  53.8,   2.3,   4.3,   5.6
Agawam,00050000,"   2,157",  17.9,"      4,200",  49.0,  51.0,   2.9,  13.8,  25.3
Amesbury,00070000,     876,  18.8,"      2,383",  46.8,  53.2,   0.4,  16.1,  22.8
Amesbury Academy Charter Public (District),04150000,      22,  12.3,         49,  38.8,  61.2,   0.0,  38.8,  59.2
Amherst,00080000,     366,  18.6,"      1,251",  48.8,  51.2,  14.6,  19.8,  36.9
Amherst-Pelham,06050000,     670,  14.0,"      1,574",  49.9,  50.1,   3.0,  19.6,  24.4
Andover,00090000,"   1,950",  21.7,"      6,184",  49.2,  50.8,   1.4,  15.1,   5.9
Arlington,00100000,"   1,605",  19.7,"      4,790",  49.9,  50.1,   5.0,  12.8,  11.0
Ashburnham-Westminster,06100000,     849,  19.7,"      2,319",  49.3,  50.7,   0.9,  16.0,  18.7
Ashland,00140000,     779,  19.8,"      2,604",  50.0,  50.0,   3.1,  12.8,  10.0
Assabet Valley Regional Vocational Technical,08010000,     548,  14.9,        985,  37.9,  62.1,   2.0,  27.7,  34.4
Athol-Royalston,06150000,     683,  17.6,"      1,614",  47.5,  52.5,   1.4,  25.2,  51.4
Atlantis Charter (District),04910000,     369,  21.7,        745,  49.8,  50.2,   0.0,  13.0,  93.6
Attleboro,00160000,"   2,071",  20.1,"      5,765",  47.8,  52.2,   4.7,  15.9,  30.4
Auburn,00170000,     681,  18.3,"      2,358",  50.0,  50.0,   2.7,  12.2,  19.1
Avon,00180000,     291,  17.0,        769,  48.1,  51.9,   0.3,  16.9,  29.1
Ayer,00190000,     315,  17.4,        903,  47.2,  52.8,   4.8,  19.5,  25.8
Barnstable,00200000,"   1,583",  16.7,"      4,165",  49.5,  50.5,   3.6,  11.9,  31.5
Barnstable Community Horace Mann Charter Public (District),04270000,      80,  20.9,        334,  52.1,  47.9,  11.7,   8.4,  29.0
Barnstable Horace Mann Charter (District),04230000,     358,  22.0,        812,  50.5,  49.5,   3.4,  12.3,  32.0
Bedford,00230000,"   1,156",  15.2,"      2,384",  49.9,  50.1,   3.7,  13.3,   9.4
Belchertown,00240000,     878,  19.4,"      2,580",  48.4,  51.6,   0.5,  14.0,  17.5
Bellingham,00250000,     863,  17.9,"      2,542",  47.6,  52.4,   0.9,  11.3,  18.8
Belmont,00260000,"   1,080",  21.8,"      3,925",  51.0,  49.0,   2.7,   8.5,   7.5
Benjamin Banneker Charter Public (District),04200000,      23,  60.7,        342,  54.7,  45.3,   5.3,   8.2,  84.8
Benjamin Franklin Classical Charter Public (District),04470000,     214,  25.5,        439,  51.0,  49.0,   0.0,   5.9,   3.4
Berkley,00270000,     379,  18.7,        912,  49.0,  51.0,   0.0,  15.8,  10.7
Berkshire Arts and Technology Charter Public (District),04140000,     142,  18.2,        261,  52.5,  47.5,   0.0,  18.0,  59.4
Berkshire Hills,06180000,     647,  16.1,"      1,329",  48.8,  51.2,   2.0,  13.0,  23.3
Berlin,00280000,      54,  14.9,        201,  40.3,  59.7,   1.0,  22.4,   4.0
Berlin-Boylston,06200000,     201,  15.1,        410,  56.8,  43.2,   0.2,  15.1,   9.8
Beverly,00300000,     743,  26.5,"      4,220",  49.7,  50.3,   1.4,  18.6,  22.9
