2012-13 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Abby Kelley Foster Charter Public (District),04450000,     116.6,  92.7,     640,  96.4,  12.2 to 1
Abington,00010000,     123.5, 100.0,     733,  98.9,  16.4 to 1
Academy Of the Pacific Rim Charter Public (District),04120000,      35.9,  59.1,     112,  83.0,  14.0 to 1
Acton,00020000,     147.4, 100.0,     670, 100.0,  17.0 to 1
Acton-Boxborough,06000000,     183.9,  99.8,     847,  99.4,  15.8 to 1
Acushnet,00030000,      69.0, 100.0,     301, 100.0,  14.1 to 1
Adams-Cheshire,06030000,     102.1,  99.0,     626, 100.0,  13.7 to 1
Advanced Math and Science Academy Charter (District),04300000,      80.5,  82.2,     380, 100.0,  12.1 to 1
Agawam,00050000,     305.4, 100.0,"   1,714", 100.0,  13.5 to 1
Alma del Mar Charter School (District),04090000,      16.3,  43.5,      49,  59.2,   9.8 to 1
Amesbury,00070000,     159.6,  99.4,     778, 100.0,  14.6 to 1
Amesbury Academy Charter Public (District),04150000,       7.2,  70.2,      22,  36.4,   6.5 to 1
Amherst,00080000,     115.6, 100.0,     517,  98.5,  10.4 to 1
Amherst-Pelham,06050000,     129.4,  99.2,"   1,021",  94.7,  11.9 to 1
Andover,00090000,     433.6,  99.8,"   2,098",  99.8,  14.4 to 1
Arlington,00100000,     336.6,  99.3,"   1,644",  99.5,  14.6 to 1
Ashburnham-Westminster,06100000,     149.3,  97.8,     876,  98.2,  15.4 to 1
Ashland,00140000,     176.2, 100.0,     827,  99.5,  14.6 to 1
Assabet Valley Regional Vocational Technical,08010000,      98.0,  98.0,     364, 100.0,  10.3 to 1
Athol-Royalston,06150000,     105.2,  98.4,     574,  99.3,  14.0 to 1
Atlantis Charter (District),04910000,      51.8,  94.2,     218,  98.2,  14.7 to 1
Attleboro,00160000,     389.0,  98.7,"   2,044",  96.5,  15.2 to 1
Auburn,00170000,     169.7, 100.0,"   1,099",  99.9,  13.8 to 1
Avon,00180000,      63.5, 100.0,     304,  99.7,  11.8 to 1
Ayer Shirley School District,06160000,     118.0,  95.5,     599,  99.5,  14.1 to 1
Barnstable,00200000,     369.7,  99.4,"   1,634",  99.5,  13.4 to 1
Barnstable Community Horace Mann Charter Public (District),04270000,      23.6, 100.0,     112, 100.0,  12.1 to 1
Bedford,00230000,     197.8,  98.4,     995,  99.7,  12.7 to 1
Belchertown,00240000,     169.5,  99.4,     916,  99.7,  14.7 to 1
Bellingham,00250000,     173.9,  98.4,     860,  99.4,  14.1 to 1
Belmont,00260000,     242.3,  99.6,"   1,235", 100.0,  16.8 to 1
