2017-18 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License
Abby Kelley Foster Charter Public (District),04450000,     109.0,  97.8,  13.1 to 1,  81.1,  83.7
Abington,00010000,     123.5, 100.0,  16.5 to 1,  81.1,  93.6
Academy Of the Pacific Rim Charter Public (District),04120000,      48.1,  70.5,  10.9 to 1,  39.7,  79.7
Acton-Boxborough,06000000,     371.8, 100.0,  15.1 to 1,  88.9,  97.5
Acushnet,00030000,      65.5, 100.0,  14.7 to 1,  91.2,  98.5
Adams-Cheshire,06030000,      80.2,  98.8,  15.2 to 1,  81.9,  95.1
Advanced Math and Science Academy Charter (District),04300000,      82.0,  86.0,  12.1 to 1,  62.7,  70.2
Agawam,00050000,     323.3, 100.0,  12.0 to 1,  92.0,  96.2
Alma del Mar Charter School (District),04090000,      35.0,  62.9,  11.8 to 1,  54.3,  97.1
Amesbury,00070000,     143.2, 100.0,  15.0 to 1,  87.7,  93.7
Amherst,00080000,     122.0,  98.4,   9.4 to 1,  84.6,  96.9
Amherst-Pelham,06050000,     114.3,  98.8,  11.8 to 1,  84.2,  95.5
Andover,00090000,     469.6, 100.0,  12.6 to 1,  88.7,  97.5
Argosy Collegiate Charter School (District),35090000,      37.2,  67.2,  10.7 to 1,  24.7,  81.2
Arlington,00100000,     399.7,  99.5,  14.3 to 1,  80.9,  92.4
Ashburnham-Westminster,06100000,     159.9, 100.0,  14.9 to 1,  83.1,  94.3
Ashland,00140000,     199.9, 100.0,  13.8 to 1,  83.2,  95.2
Assabet Valley Regional Vocational Technical,08010000,     110.0,  95.5,  10.1 to 1,  84.1,  86.4
Athol-Royalston,06150000,     109.5, 100.0,  13.7 to 1,  79.0,  86.3
Atlantis Charter (District),04910000,      88.6,  82.5,  13.7 to 1,  48.1,  75.2
Attleboro,00160000,     373.8,  99.4,  15.9 to 1,  88.9,  95.1
Auburn,00170000,     178.9, 100.0,  14.6 to 1,  89.1,  94.9
Avon,00180000,      67.4, 100.0,  10.8 to 1,  79.2,  91.1
Ayer Shirley School District,06160000,     136.5,  99.3,  12.5 to 1,  80.5,  87.6
Barnstable,00200000,     367.2,  99.5,  13.3 to 1,  83.8,  93.1
Barnstable Community Horace Mann Charter Public (District),04270000,      24.0, 100.0,  12.8 to 1,  79.2, 100.0
