2019-20 Teacher Data - All Teachers,,,,,,,
District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field
Abby Kelley Foster Charter Public (District),04450000,     117.2,  93.1,  12.2 to 1,  74.5,  88.2,  86.1
Abington,00010000,     126.2,  99.7,  17.0 to 1,  83.9,  94.1,  94.9
Academy Of the Pacific Rim Charter Public (District),04120000,      46.8,  70.1,  11.3 to 1,  42.8,  83.8,  52.9
Acton-Boxborough,06000000,     383.6, 100.0,  14.1 to 1,  88.5,  96.4,  96.2
Acushnet,00030000,      70.5, 100.0,  14.3 to 1,  84.4,  92.9,  95.9
Advanced Math and Science Academy Charter (District),04300000,      80.0,  89.2,  12.0 to 1,  80.4,  73.2,  78.8
Agawam,00050000,     307.1, 100.0,  12.0 to 1,  93.3,  97.3,  95.9
Alma del Mar Charter School (District),04090000,      52.0,  57.7,  12.6 to 1,  25.0,  86.5,  25.0
Amesbury,00070000,     166.2,  98.8,  12.1 to 1,  88.5,  93.3,  93.6
Amherst,00080000,     120.3,  97.5,   9.1 to 1,  85.6,  96.7,  98.4
Amherst-Pelham,06050000,     112.5,  98.2,  12.0 to 1,  90.2,  95.9,  90.0
Andover,00090000,     479.3, 100.0,  12.2 to 1,  93.4,  97.6,  97.1
Argosy Collegiate Charter School (District),35090000,      39.3,  63.6,  13.4 to 1,  20.3,  84.7,  39.2
Arlington,00100000,     438.6,  99.4,  13.8 to 1,  79.9,  92.5,  96.0
Ashburnham-Westminster,06100000,     162.6,  98.8,  14.5 to 1,  83.7,  96.2,  92.2
Ashland,00140000,     202.4, 100.0,  14.1 to 1,  85.0,  97.5,  96.1
Assabet Valley Regional Vocational Technical,08010000,     110.5,  96.4,  10.3 to 1,  91.0,  93.7,  91.1
Athol-Royalston,06150000,     111.4,  97.3,  13.6 to 1,  75.8,  88.4,  87.8
Atlantis Charter (District),04910000,     103.6,  70.1,  12.6 to 1,  46.9,  84.6,  62.3
Attleboro,00160000,     383.9,  99.2,  15.6 to 1,  87.4,  94.7,  91.0
Auburn,00170000,     185.7, 100.0,  14.2 to 1,  91.1,  97.0,  93.5
Avon,00180000,      68.2, 100.0,  10.6 to 1,  92.7,  95.6,  95.7
Ayer Shirley School District,06160000,     133.2,  99.1,  12.6 to 1,  82.2,  93.4,  90.4
Barnstable,00200000,     392.6,  99.4,  12.8 to 1,  85.3,  92.3,  96.4
Baystate Academy Charter Public School (District),35020000,      53.8,  68.4,   8.6 to 1,  46.7,  70.4,  47.7
Bedford,00230000,     237.5,  98.5,  11.3 to 1,  86.8,  96.0,  96.1
Belchertown,00240000,     168.8,  99.2,  13.3 to 1,  93.7, 100.0,  93.8
Bellingham,00250000,     161.8,  99.7,  13.2 to 1,  86.8,  95.1,  91.5
Belmont,00260000,     285.0, 100.0,  16.5 to 1,  87.2,  96.8,  98.4
Benjamin Banneker Charter Public (District),04200000,      19.0,  94.7,  17.7 to 1,  73.7,  94.7,  94.7
Benjamin Franklin Classical Charter Public (District),04470000,      56.0,  85.7,  12.6 to 1,  51.8,  91.1,  78.6
Bentley Academy Charter School (District),35110000,      24.7, 100.0,  13.5 to 1,  54.7,  75.0, 100.0
Berkley,00270000,      62.8, 100.0,  14.6 to 1,  87.3,  96.8,  98.4
Berkshire Arts and Technology Charter Public (District),04140000,      36.8,  51.9,  10.1 to 1,  55.2,  84.4,  26.8
Berkshire Hills,06180000,     113.8,  99.1,  10.4 to 1,  84.6,  91.3,  91.3
Berlin-Boylston,06200000,      89.0, 100.0,  11.8 to 1,  86.5,  92.1,  95.6
Beverly,00300000,     335.8,  99.2,  14.0 to 1,  84.4,  94.9,  91.5
Billerica,00310000,     370.5, 100.0,  12.9 to 1,  89.1,  94.5,  97.1
Blackstone Valley Regional Vocational Technical,08050000,     100.3,  98.0,  12.2 to 1,  80.1,  79.1,  89.4
Blackstone-Millville,06220000,     116.5, 100.0,  14.1 to 1,  84.3,  92.2,  91.9
Blue Hills Regional Vocational Technical,08060000,      81.0, 100.0,  10.6 to 1,  86.4,  83.9,  93.8
Boston,00350000,"   4,406.4",  94.3,  11.5 to 1,  80.3,  92.6,  83.4
Boston Collegiate Charter (District),04490000,      72.8,  78.0,   9.5 to 1,  53.2,  81.0,  61.3
Boston Day and Evening Academy Charter (District),04240000,      26.4,  90.9,  15.7 to 1,  87.1,  96.2,  56.7
Boston Green Academy Horace Mann Charter School (District),04110000,      39.0,  86.5,  12.8 to 1,  68.6,  94.9,  77.3
Boston Preparatory Charter Public (District),04160000,      55.6,  86.0,  10.5 to 1,  36.5,  78.8,  61.2
Boston Renaissance Charter Public (District),04810000,      81.5,  97.5,  11.4 to 1,  49.7,  86.5,  90.0
Bourne,00360000,     142.4,  99.3,  13.4 to 1,  89.5,  93.7,  93.1
Boxford,00380000,      65.0, 100.0,  11.5 to 1,  77.2,  96.0, 100.0
Braintree,00400000,     424.0, 100.0,  13.7 to 1,  90.1,  96.3,  97.7
Brewster,00410000,      43.9, 100.0,  10.7 to 1,  85.1,  88.8,  95.8
Bridge Boston Charter School (District),04170000,      31.0,  58.1,  10.8 to 1,  45.2,  93.5,  55.6
Bridgewater-Raynham,06250000,     336.7, 100.0,  16.0 to 1,  90.5,  97.3,  96.5
