2011Per Pupil Expenditure,,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Abington,00010000,"          $21,233,375.95","           2,038.7","              $10,415.15","          $24,188,676.74","           2,119.0","              $11,415.14",
Acton,00020000,"          $27,934,264.35","           2,572.3","              $10,859.64","          $29,792,353.69","           2,595.1","              $11,480.23",
Acton-Boxborough,06000000,"          $35,426,148.00","           2,940.2","              $12,048.89","          $39,865,768.00","           3,024.3","              $13,181.82",
Acushnet,00030000,"          $10,541,736.71","           1,006.4","              $10,474.70","          $14,714,306.78","           1,284.6","              $11,454.39",
Adams-Cheshire,06030000,"          $18,162,501.31","           1,493.5","              $12,161.03","          $19,500,164.31","           1,622.7","              $12,017.11",
Agawam,00050000,"          $49,297,423.95","           4,237.1","              $11,634.71","          $54,426,698.05","           4,378.8","              $12,429.59",
Amesbury,00070000,"          $28,762,541.95","           2,364.2","              $12,165.87","          $32,871,040.95","           2,535.2","              $12,965.86",
Amherst,00080000,"          $22,313,288.00","           1,284.2","              $17,375.24","          $23,236,656.00","           1,357.6","              $17,115.98",
Amherst-Pelham,06050000,"          $27,997,451.00","           1,572.9","              $17,799.89","          $30,654,356.00","           1,711.0","              $17,916.05",
Andover,00090000,"          $78,813,664.55","           6,264.1","              $12,581.80","          $87,066,259.55","           6,356.4","              $13,697.42",
Arlington,00100000,"          $52,891,819.63","           4,440.8","              $11,910.43","          $58,967,075.75","           4,556.2","              $12,942.16",
Ashburnham-Westminster,06100000,"          $25,298,975.47","           2,316.5","              $10,921.21","          $27,936,429.34","           2,404.4","              $11,618.88",
Ashland,00140000,"          $29,664,082.56","           2,602.5","              $11,398.30","          $32,716,593.96","           2,724.7","              $12,007.41",
Assabet Valley Regional Vocational Technical,08010000,"          $17,907,655.00","           1,022.8","              $17,508.46","          $17,930,046.00","           1,022.8","              $17,530.35",
Athol-Royalston,06150000,"          $22,431,737.76","           1,619.2","              $13,853.59","          $25,948,379.58","           1,992.5","              $13,023.03",
Attleboro,00160000,"          $66,737,495.57","           5,766.9","              $11,572.51","          $72,216,522.86","           6,152.0","              $11,738.71",
Auburn,00170000,"          $27,637,486.00","           2,336.6","              $11,828.08","          $30,445,276.00","           2,430.7","              $12,525.31",
Avon,00180000,"           $9,166,224.00",             774.8,"              $11,830.44","           $9,627,227.00",             787.5,"              $12,225.05",
Ayer,00190000,"          $13,849,856.63",             924.1,"              $14,987.40","          $17,143,329.98","           1,305.6","              $13,130.61",
Barnstable,00200000,"          $58,888,554.08","           4,189.0","              $14,057.90","          $73,990,852.40","           5,566.8","              $13,291.45",
