2024 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Abby Kelley Foster Charter Public (District),04450000,1.0,1.0,100.0,       3,       2,66.7,     122,      90,73.8
Abington,00010000,1.0,1.0,100.0,       5,       5,100.0,     160,     146,91.3
Academy Of the Pacific Rim Charter Public (District),04120000,1.0,1.0,100.0,       2,       1,50.0,      53,      33,62.3
Acton-Boxborough,06000000,1.0,1.0,100.0,       9,       6,66.7,     404,     362,89.6
Acushnet,00030000,1.0,1.0,100.0,       2,       2,100.0,      76,      67,88.2
Advanced Math and Science Academy Charter (District),04300000,1.0,0.0,0.0,       1,       1,100.0,      86,      78,90.7
Agawam,00050000,1.0,1.0,100.0,       8,       6,75.0,     279,     255,91.4
Alma del Mar Charter School (District),04090000,1.0,1.0,100.0,       2,       0,0.0,      80,      51,63.8
Amesbury,00070000,1.0,1.0,100.0,       5,       4,80.0,     176,     153,86.9
Amherst,00080000,1.0,0.0,0.0,       3,       3,100.0,     113,     104,92.0
Amherst-Pelham,06050000,1.0,0.0,0.0,       2,       1,50.0,     132,     108,81.8
Andover,00090000,1.0,1.0,100.0,      10,       7,70.0,     482,     440,91.3
Argosy Collegiate Charter School (District),35090000,1.0,0.0,0.0,       2,       0,0.0,      46,      25,54.3
Arlington,00100000,1.0,1.0,100.0,      11,       7,63.6,     501,     433,86.4
Ashburnham-Westminster,06100000,1.0,1.0,100.0,       4,       4,100.0,     167,     141,84.4
Ashland,00140000,1.0,1.0,100.0,       4,       4,100.0,     221,     204,92.3
Assabet Valley Regional Vocational Technical,08010000,1.0,1.0,100.0,       1,       1,100.0,     112,     104,92.9
Athol-Royalston,06150000,1.0,1.0,100.0,       4,       2,50.0,     121,      99,81.8
Atlantis Charter (District),04910000,1.0,1.0,100.0,       2,       1,50.0,     106,      75,70.8
Attleboro,00160000,1.0,1.0,100.0,      11,       9,81.8,     410,     357,87.1
Auburn,00170000,1.0,1.0,100.0,       5,       5,100.0,     192,     172,89.6
Avon,00180000,1.0,1.0,100.0,       3,       1,33.3,      76,      53,69.7
Ayer Shirley School District,06160000,1.0,1.0,100.0,       4,       4,100.0,     147,     131,89.1
Barnstable,00200000,1.0,1.0,100.0,      10,       9,90.0,     445,     382,85.8
Baystate Academy Charter Public School (District),35020000,1.0,1.0,100.0,       1,       0,0.0,      63,      39,61.9
Bedford,00230000,1.0,0.0,0.0,       4,       4,100.0,     243,     212,87.2
Belchertown,00240000,1.0,1.0,100.0,       5,       5,100.0,     177,     161,91.0
Bellingham,00250000,1.0,1.0,100.0,       6,       3,50.0,     162,     145,89.5
Belmont,00260000,1.0,0.0,0.0,       6,       4,66.7,     298,     266,89.3
Benjamin Banneker Charter Public (District),04200000,1.0,1.0,100.0,       1,       1,100.0,      20,      18,90.0
