2018 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Abby Kelley Foster Charter Public (District),04450000,1,1,100.0,       3,       3,100.0,     109,      99,90.8
Abington,00010000,1,1,100.0,       5,       4,80.0,     135,     111,82.2
Academy Of the Pacific Rim Charter Public (District),04120000,1,1,100.0,       2,       2,100.0,      48,      32,66.7
Acton-Boxborough,06000000,1,0,0.0,       9,       8,88.9,     384,     357,93.0
Acushnet,00030000,1,0,0.0,       2,       2,100.0,      73,      66,90.4
Adams-Cheshire,06030000,1,1,100.0,       3,       2,66.7,      92,      77,83.7
Advanced Math and Science Academy Charter (District),04300000,1,0,0.0,       1,       0,0.0,      81,      70,86.4
Agawam,00050000,1,0,0.0,       8,       7,87.5,     327,     306,93.6
Alma del Mar Charter School (District),04090000,1,1,100.0,       1,       1,100.0,      33,      19,57.6
Amesbury,00070000,1,1,100.0,       5,       5,100.0,     175,     163,93.1
Amherst,00080000,1,1,100.0,       3,       3,100.0,     125,     108,86.4
Amherst-Pelham,06050000,1,1,100.0,       2,       2,100.0,     131,     119,90.8
Andover,00090000,1,1,100.0,      10,       9,90.0,     475,     438,92.2
Argosy Collegiate Charter School (District),35090000,1,1,100.0,       1,       0,0.0,      26,      14,53.8
Arlington,00100000,1,1,100.0,      10,      10,100.0,     412,     376,91.3
Ashburnham-Westminster,06100000,1,1,100.0,       4,       4,100.0,     161,     145,90.1
Ashland,00140000,1,1,100.0,       5,       5,100.0,     192,     184,95.8
Assabet Valley Regional Vocational Technical,08010000,1,1,100.0,       1,       1,100.0,     110,     104,94.5
Athol-Royalston,06150000,1,0,0.0,       4,       3,75.0,     107,      92,86.0
Atlantis Charter (District),04910000,1,1,100.0,       4,       2,50.0,      85,      66,77.6
Attleboro,00160000,1,1,100.0,       9,       9,100.0,     370,     346,93.5
Auburn,00170000,1,1,100.0,       5,       5,100.0,     187,     177,94.7
Avon,00180000,1,1,100.0,       2,       2,100.0,      67,      57,85.1
Ayer Shirley School District,06160000,1,1,100.0,       4,       3,75.0,     143,     119,83.2
Barnstable,00200000,1,1,100.0,       8,       7,87.5,     396,     339,85.6
Barnstable Community Horace Mann Charter Public (District),04270000,1,1,100.0,       1,       1,100.0,      24,      23,95.8
Baystate Academy Charter Public School (District),35020000,1,1,100.0,       1,       1,100.0,      38,      27,71.1
Bedford,00230000,1,1,100.0,       4,       4,100.0,     238,     216,90.8
Belchertown,00240000,1,1,100.0,       5,       4,80.0,     178,     158,88.8
Bellingham,00250000,1,1,100.0,       7,       5,71.4,     174,     155,89.1
Belmont,00260000,1,1,100.0,       6,       6,100.0,     282,     251,89.0
Benjamin Banneker Charter Public (District),04200000,1,1,100.0,       1,       1,100.0,      20,      16,80.0
