2012-13 Teacher Salaries Report,,,,
District Name,District Code,Salary Totals,Average Salary,FTE Count
Abington,00010000,"      $8,820,584","  $71,422",    123.5
Acton,00020000,"     $11,490,314","  $77,953",    147.4
Acton-Boxborough,06000000,"     $14,100,746","  $76,676",    183.9
Acushnet,00030000,"      $4,376,744","  $63,431",     69.0
Adams-Cheshire,06030000,"      $6,856,594","  $67,156",    102.1
Agawam,00050000,"     $19,491,606","  $63,823",    305.4
Amesbury,00070000,"     $11,991,069","  $75,132",    159.6
Amherst,00080000,"      $8,233,665","  $71,225",    115.6
Amherst-Pelham,06050000,"     $10,029,879","  $77,511",    129.4
Andover,00090000,"     $34,917,335","  $80,529",    433.6
Arlington,00100000,"     $20,555,845","  $61,069",    336.6
Ashburnham-Westminster,06100000,"     $10,106,373","  $67,692",    149.3
Ashland,00140000,"     $12,557,800","  $71,270",    176.2
Assabet Valley               ,08010000,"      $7,505,894","  $76,591",     98.0
Athol-Royalston,06150000,"      $6,828,105","  $64,906",    105.2
Attleboro,00160000,"     $29,193,406","  $75,047",    389.0
Auburn,00170000,"     $10,413,594","  $61,365",    169.7
Avon,00180000,"      $3,916,117","  $61,671",     63.5
Ayer Shirley,06160000,"      $7,936,357","  $67,257",    118.0
Barnstable,00200000,"     $27,470,992","  $74,306",    369.7
Bedford,00230000,"     $16,274,069","  $82,275",    197.8
Belchertown,00240000,"     $10,465,021","  $61,741",    169.5
Bellingham,00250000,"     $11,718,195","  $67,385",    173.9
Belmont,00260000,"     $19,200,783","  $79,244",    242.3
Berkley,00270000,"      $3,999,640","  $65,784",     60.8
Berkshire Hills,06180000,"      $7,885,962","  $69,236",    113.9
Berlin,00280000,"      $1,584,230","  $81,243",     19.5
Berlin-Boylston,06200000,"      $2,313,757","  $66,487",     34.8
Beverly,00300000,"     $17,687,744","  $59,716",    296.2
Billerica,00310000,"     $26,591,667","  $67,940",    391.4
Blackstone Valley            ,08050000,"      $6,837,496","  $71,974",     95.0
Blackstone-Millville,06220000,"      $8,561,674","  $63,467",    134.9
Blue Hills                   ,08060000,"      $6,516,293","  $78,604",     82.9
Boston,00350000,"    $353,122,118","  $76,906","  4,591.6"
Bourne,00360000,"     $11,196,722","  $78,189",    143.2
Boxborough,00370000,"      $2,964,073","  $82,107",     36.1
Boxford,00380000,"      $4,438,496","  $74,098",     59.9
Boylston,00390000,"      $1,923,952","  $73,154",     26.3
Braintree,00400000,"     $27,584,376","  $70,171",    393.1
Brewster,00410000,"      $3,106,130","  $72,914",     42.6
Bridgewater-Raynham,06250000,"     $24,719,425","  $76,013",    325.2
Brimfield,00430000,"      $1,788,727","  $65,282",     27.4
Bristol County Agricultural,09100000,"      $2,171,199","  $65,006",     33.4
Bristol Plymouth             ,08100000,"      $7,725,237","  $77,641",     99.5
Brockton,00440000,"     $88,183,815","  $82,841","  1,064.5"
Brookfield,00450000,"      $1,518,877","  $61,493",     24.7
