2020 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Abby Kelley Foster Charter Public (District),04450000,1,1,100.0,       3,       3,100.0,     120,      95,79.2
Abington,00010000,1,1,100.0,       5,       4,80.0,     130,     115,88.5
Academy Of the Pacific Rim Charter Public (District),04120000,1,1,100.0,       2,       1,50.0,      51,      37,72.5
Acton-Boxborough,06000000,1,1,100.0,       9,       9,100.0,     397,     362,91.2
Acushnet,00030000,1,1,100.0,       2,       2,100.0,      76,      63,82.9
Advanced Math and Science Academy Charter (District),04300000,1,0,0.0,       1,       0,0.0,      86,      79,91.9
Agawam,00050000,1,1,100.0,       8,       8,100.0,     341,     305,89.4
Alma del Mar Charter School (District),04090000,1,1,100.0,       1,       1,100.0,      37,      24,64.9
Amesbury,00070000,1,1,100.0,       5,       4,80.0,     175,     155,88.6
Amherst,00080000,1,1,100.0,       3,       3,100.0,     122,     106,86.9
Amherst-Pelham,06050000,1,1,100.0,       3,       2,66.7,     126,     107,84.9
Andover,00090000,1,1,100.0,      10,       9,90.0,     485,     441,90.9
Argosy Collegiate Charter School (District),35090000,1,1,100.0,       2,       0,0.0,      39,      23,59.0
Arlington,00100000,1,1,100.0,      11,      11,100.0,     441,     387,87.8
Ashburnham-Westminster,06100000,1,0,0.0,       4,       4,100.0,     169,     153,90.5
Ashland,00140000,1,1,100.0,       4,       4,100.0,     206,     185,89.8
Assabet Valley Regional Vocational Technical,08010000,1,1,100.0,       1,       1,100.0,     111,     106,95.5
Athol-Royalston,06150000,1,1,100.0,       4,       2,50.0,     108,      90,83.3
Atlantis Charter (District),04910000,1,1,100.0,       3,       3,100.0,      93,      67,72.0
Attleboro,00160000,1,1,100.0,      10,       9,90.0,     392,     366,93.4
Auburn,00170000,1,1,100.0,       5,       4,80.0,     195,     175,89.7
Avon,00180000,1,1,100.0,       2,       2,100.0,      68,      64,94.1
Ayer Shirley School District,06160000,1,1,100.0,       4,       3,75.0,     141,     117,83.0
Barnstable,00200000,1,1,100.0,       8,       7,87.5,     369,     330,89.4
Baystate Academy Charter Public School (District),35020000,1,1,100.0,       1,       1,100.0,      59,      28,47.5
