2021 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Abby Kelley Foster Charter Public (District),04450000,1,0,0.0,       3,       3,100.0,     119,     104,87.4
Abington,00010000,1,1,100.0,       5,       4,80.0,     131,     119,90.8
Academy Of the Pacific Rim Charter Public (District),04120000,1,1,100.0,       2,       1,50.0,      49,      30,61.2
Acton-Boxborough,06000000,1,1,100.0,       9,       9,100.0,     397,     360,90.7
Acushnet,00030000,1,1,100.0,       2,       1,50.0,      71,      61,85.9
Advanced Math and Science Academy Charter (District),04300000,1,1,100.0,       1,       1,100.0,      85,      78,91.8
Agawam,00050000,1,0,0.0,       8,       5,62.5,     324,     299,92.3
Alma del Mar Charter School (District),04090000,1,1,100.0,       2,       2,100.0,      52,      40,76.9
Amesbury,00070000,1,1,100.0,       5,       4,80.0,     171,     146,85.4
Amherst,00080000,1,1,100.0,       3,       3,100.0,     123,     109,88.6
Amherst-Pelham,06050000,1,1,100.0,       3,       0,0.0,     123,     114,92.7
Andover,00090000,1,1,100.0,      11,       8,72.7,     497,     456,91.8
Argosy Collegiate Charter School (District),35090000,1,1,100.0,       2,       1,50.0,      44,      31,70.5
Arlington,00100000,1,1,100.0,      11,       9,81.8,     457,     419,91.7
Ashburnham-Westminster,06100000,1,0,0.0,       4,       3,75.0,     169,     151,89.3
Ashland,00140000,1,1,100.0,       4,       3,75.0,     206,     195,94.7
Assabet Valley Regional Vocational Technical,08010000,1,1,100.0,       1,       1,100.0,     112,      99,88.4
Athol-Royalston,06150000,1,1,100.0,       4,       4,100.0,     112,      91,81.3
Atlantis Charter (District),04910000,1,1,100.0,       3,       1,33.3,     104,      80,76.9
Attleboro,00160000,1,1,100.0,      10,       9,90.0,     401,     360,89.8
Auburn,00170000,1,0,0.0,       5,       4,80.0,     195,     177,90.8
Avon,00180000,1,1,100.0,       2,       2,100.0,      69,      57,82.6
